seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gravity_z,gravity_y,gravity_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,watchBarometer_relativeAltitude,watchBarometer_pressure,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,barometer_relativeAltitude,barometer_pressure,accelerometer_z,accelerometer_y,accelerometer_x,heartRate_bpm,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ
30.000000,0.000151,-0.000340,-0.000097,-8.547975,-0.510211,-4.779351,-921.599073,-264.810345,-48.695300,-179.024110,-44.824025,-52.994120,-0.002741,-0.000840,0.002292,0.190001,100.897385,0.521252,-0.089286,-0.242934,-0.509819,-0.936380,0.237071,0.052051,-0.872189,-0.052678,-0.487890,0.269516,1009.320297,-0.004960,-0.005880,-0.005378,94.000000,0.005014,-0.006972,-0.001089,-0.815148,0.499718,0.292943,-0.001790,0.000871,-0.002131,0.584597,-0.538266,-0.597278,-0.108509
31.000000,-0.000138,0.000143,-0.000008,-8.547339,-0.510389,-4.780470,-921.549615,-264.755418,-48.720758,-178.985839,-44.764008,-53.020502,-0.002946,-0.000455,0.002130,,,0.521267,-0.089313,-0.242933,-0.509950,-0.936364,0.237129,0.052069,-0.872261,-0.052565,-0.487937,0.303867,1009.316254,-0.006952,-0.004552,-0.005144,,0.000546,-0.001851,0.000259,-0.814536,0.500773,0.292845,-0.001498,0.000699,-0.000830,0.584879,-0.537674,-0.597770,-0.107212
32.000000,0.000183,-0.000060,-0.000080,-8.547414,-0.511352,-4.780231,-921.640106,-264.784421,-48.653237,-179.074340,-44.800456,-52.959504,-0.002764,-0.000462,0.002073,,,0.521255,-0.089354,-0.242916,-0.509925,-0.936370,0.237105,0.052167,-0.872133,-0.052459,-0.487933,0.327648,1009.313354,-0.005174,-0.003470,-0.005111,,-0.000195,-0.002318,-0.000160,-0.814587,0.500636,0.292934,-0.001454,0.000416,-0.000506,0.584896,-0.537299,-0.598145,-0.106907
33.000000,0.000128,0.000148,-0.000084,-8.547701,-0.511133,-4.779743,-921.778977,-264.918193,-48.743054,-179.216594,-44.937385,-53.048112,-0.002703,-0.000497,0.002103,0.280001,100.897125,0.521331,-0.089346,-0.242957,-0.509867,-0.936367,0.237078,0.052145,-0.872251,-0.052594,-0.487962,0.443909,1009.299622,-0.006698,-0.004550,-0.005162,,-0.000431,-0.001305,0.000012,-0.814445,0.500582,0.293424,-0.001156,0.000731,-0.000373,0.584725,-0.537241,-0.598401,-0.106697
34.000000,-0.008909,-0.023284,0.003386,-8.529815,-0.522981,-4.809864,-919.915641,-267.180512,-50.964742,-176.355953,-46.549162,-53.998904,-0.011539,-0.023861,0.005678,,,0.520279,-0.090214,-0.242148,-0.513444,-0.936088,0.238646,0.053355,-0.705083,-0.148066,-0.764376,0.544315,1009.287567,1.603441,-0.921921,-2.662935,,0.055795,-0.013378,0.016454,-0.811362,0.507439,0.290010,-0.199020,-0.232171,-0.132117,0.587190,-0.534842,-0.599113,-0.100712
35.000000,0.017636,-0.055473,0.012018,-8.247350,-0.552965,-5.275967,-904.445584,-248.565914,-49.991180,21.465192,24.971671,-84.160276,0.013263,-0.053133,0.013931,,,0.534620,-0.100241,-0.245772,-0.569111,-0.927406,0.263497,0.056417,-0.268017,-0.336053,-1.388075,1.101845,1009.220657,5.616941,-2.757077,-8.341460,,0.021779,0.001811,-0.002120,-0.808111,0.521535,0.273674,-0.630619,-0.757517,-0.399267,0.596591,-0.522990,-0.602745,-0.085000
36.000000,-0.002645,-0.020308,-0.004449,-8.073872,-0.558143,-5.537771,-927.098937,-267.782426,-71.533553,82.913531,-337.066780,1393.252528,-0.005142,-0.017171,-0.004608,0.480000,100.895622,0.535068,-0.104465,-0.244268,-0.601192,-0.923030,0.278250,0.056946,-0.413121,-0.255966,-1.139618,,,4.045565,-1.940374,-5.663166,103.000000,0.012583,0.007870,-0.002154,-0.815579,0.519582,0.254435,-0.425287,-0.515985,-0.264546,0.605008,-0.511368,-0.604734,-0.081978
37.000000,-0.007222,0.181106,-0.001225,-8.249540,-0.519864,-5.239828,-946.656646,-237.498765,-55.067877,-1011.724762,-1697.854598,418.746972,-0.010771,0.175439,0.001894,,,0.534225,-0.098234,-0.246111,-0.565798,-0.927345,0.262285,0.053036,-0.640485,-0.146340,-0.811878,1.910397,1009.123840,2.006531,-0.930900,-2.772974,,-0.018959,-0.005699,0.001959,-0.820265,0.510991,0.256738,-0.189936,-0.245858,-0.127029,0.603228,-0.511658,-0.605445,-0.087779
38.000000,-0.001477,-0.019228,-0.002650,-8.842146,-0.559061,-4.202534,-951.645304,-264.644307,-92.896859,-103.671600,-1613.977913,-1117.158853,-0.006204,-0.015023,0.000814,1.780001,100.891357,0.520741,-0.083502,-0.244961,-0.443680,-0.943830,0.205357,0.057039,-0.916212,-0.051284,-0.410220,1.910397,1009.123840,-0.154913,0.059472,0.177428,100.000000,-0.030810,0.012634,-0.030704,-0.842110,0.485758,0.230638,0.030440,0.045935,0.014920,0.612064,-0.494798,-0.608425,-0.098184
39.000000,0.000273,0.011984,-0.009351,-8.881412,-0.547738,-4.121426,-911.091701,-263.375961,-47.474279,-639.708309,-1548.577174,1208.079124,-0.004830,0.005411,-0.002470,,,0.520578,-0.081811,-0.245392,-0.434477,-0.944779,0.201170,0.055883,-0.919541,-0.045861,-0.402934,2.068935,1009.104843,-0.097053,0.107639,0.173155,,-0.048387,-0.001222,-0.004831,-0.848430,0.457846,0.264542,0.007936,0.066609,0.033697,0.593964,-0.510373,-0.609698,-0.121679
40.000000,0.002854,-0.544350,0.098319,-8.221956,-0.803769,-5.020252,-899.663787,-272.685014,-42.912650,-99.969276,337.090415,-105.806455,0.000903,-0.543979,0.098909,,,0.528949,-0.108945,-0.238613,-0.549356,-0.928198,0.249985,0.082081,-2.073736,-0.086790,-0.850110,2.930332,1009.001770,-11.984174,-0.043664,-3.279036,,-0.000435,0.205544,-0.482411,-0.898057,0.337942,0.234932,-0.754515,0.870014,0.525341,0.589545,-0.475099,-0.623945,-0.176670
41.000000,-0.097304,-1.388140,0.339164,1.063487,-2.009725,-8.678150,-880.757698,-270.832309,-57.784781,10.257541,273.163315,-70.989174,-0.100984,-1.387049,0.342246,1.700000,100.869370,0.705812,-0.318368,-0.143954,-1.694557,-0.633222,0.658744,0.206538,-2.607785,-0.056113,-1.245814,6.407623,1008.585663,-26.715347,1.474307,-3.539647,,-0.031299,0.682605,-1.260466,-0.703605,-0.546086,-0.197191,-1.491507,1.813764,1.159811,0.531753,-0.086394,-0.603993,-0.548094
